S.No,States/UTs,2018-19,2017-18,2016-17,2015-16,2014-15
All India,All India,14949,16282,10015,9486,9672
1,A & N Islands,0,10,4,4,4
2,Andhra Pradesh,437,576,163,215,109
3,Arunachal Pradesh,12,10,6,16,6
4,Assam,793,1050,448,388,397
5,Bihar,544,836,470,213,4
6,Chandigarh,51,45,11,38,58
7,Chhattisgarh,646,669,565,601,665
8,Dadra & Nagar Haveli,17,26,11,6,13
9,Daman & Diu,2,0,NA,NA,1
10,Delhi,792,817,296,392,412
11,Goa,7,11,6,7,15
12,Gujarat,1166,1337,520,312,373
13,Haryana,456,138,184,262,187
14,Himachal Pradesh,68,52,56,57,63
15,Jammu & Kashmir,114,45,38,55,34
16,Jharkhand,236,225,100,79,98
17,Karnataka,625,691,372,388,351
18,Kerala,111,157,5,10,22
19,Lakshadweep,2,0,1,1,NA
20,Madhya Pradesh,1977,1907,1497,1405,1083
21,Maharashtra,1015,980,781,770,1155
22,Manipur,9,13,12,14,11
23,Meghalaya,409,429,632,589,435
24,Mizoram,67,85,75,93,265
25,Nagaland,29,31,24,30,21
26,Odisha,1262,1125,1012,868,1011
27,Puducherry,42,52,4,NA,3
28,Punjab,153,205,130,145,132
29,Rajasthan,1198,1676,1482,1285,1171
30,Sikkim,11,6,3,14,28
31,Tamil Nadu,267,396,89,125,389
32,Telangana,182,189,65,54,57
33,Tripura,57,81,98,112,126
34,Uttar Pradesh,568,990,118,167,58
35,Uttarakhand,49,32,14,26,33
36,West Bengal,1575,1390,723,745,882
